time,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,sound#mean,sound#min,sound#max,sound#std,target
78.0,0.24282555712945997,0.7999534680285115,0.018049163174082422,0.001035780364527739,0.0002915454849196419,0.0,0.00012241824400882734,0.00014795816546786243,0.0,0.0,0.0,0.0,Still
145.0,0.25552452594950925,0.6257740864757559,0.14367842008670334,0.1377993766972542,0.0064155300120107344,0.003609746720739885,0.0020577390497453466,0.004073507366533169,0.9877251801976313,0.9862295680283347,0.9892207923658202,0.00711792338851406,Car
150.0,0.2443866051263176,0.8038524536385461,0.018046600675412194,0.0007697257622841662,0.0002692644403786926,0.0,9.041186738343825e-05,0.0001430869695469676,0.0,0.0,0.0,0.0,Still
105.0,0.22906212918507374,0.6217187023049532,0.06031259693971355,0.06687601858277764,0.006435769804576528,0.0063299352619063795,0.0018195037150569905,0.002118651165237661,0.9685705201530653,0.9685705201530653,0.9685705201530653,0.08511793975694588,Car
77.0,0.2609190107169721,0.7326003658211492,0.03599231128152694,0.03904401911345444,0.03235555256276323,0.006392976273113183,0.013196990470405519,0.01983964692512717,0.9940426436600572,0.9940426436600572,0.9940426436600572,0.00023808851487196796,Car
559.0,0.1950050631658824,0.7481726755763396,0.012378765915567108,0.007964429588166289,0.0,0.0,0.0,0.0,0.635166998089963,0.635166998089963,0.635166998089963,0.037510370204810864,Car
41.0,0.24066764557617248,0.7999411771069272,0.017477348138041526,0.0009475008106703409,0.0007240823511649729,0.0008450629692677955,0.00022796426750192625,0.00036160652922980895,0.7215068398417852,0.7215068398417852,0.7215068398417852,0.0,Train
20.0,0.25222424765717844,0.5174527813123554,0.09299390996560453,0.08101818840700938,0.0248849210370235,0.0020313178828374394,0.023922239681161882,0.024025207980253652,0.0,0.0,0.0,0.0,Bus
35.0,0.22574869124145092,0.7351910850429269,0.021120350075767708,0.01970458298134,0.007338915491877724,0.002479139473101489,0.004262751324116584,0.006037922009265275,0.9944601948091795,0.9944601948091795,0.9944601948091795,0.00037902852363448425,Bus
27.0,0.22201021198084514,0.7367747724922323,0.021821493772278266,0.020693642507615243,0.00661422970113316,0.002219287825801509,0.0029389498959516568,0.004294576966625523,0.9945410026326009,0.9945410026326009,0.9945410026326009,0.00018613674357250676,Train
234.0,0.24810359847244567,0.7826130664987893,0.026552768405500193,0.008772335249458273,0.023186136187688722,0.04061052995348282,0.004548857829470762,0.0006687122435354914,0.7814373912877373,0.7814373912877373,0.7814373912877373,0.2971759356686844,Still
135.0,0.2065422733040866,0.7271177931061278,0.02087179671821271,0.024549314888536674,0.0039782363191560935,0.0016585667965815707,0.0020283159767530727,0.0026327816162932563,0.9942796861756728,0.9942796861756728,0.9942796861756728,0.0013953721019426227,Train
11.0,0.19850918291441322,0.2905068977118173,0.08476819630362262,0.19467546991537632,0.052449580653743645,0.015321945794882356,0.02670519059661426,0.0465741330344819,0.9415623612668219,0.9415623612668219,0.9415623612668219,0.2621792103829392,Car
563.0,0.25481575369795495,0.7871503465868408,0.02415776981112619,0.011234594361072516,0.0031575705071902336,0.0014334264324743272,0.002006271796851705,0.0024524979413642093,0.9939657159430876,0.993353156221776,0.9945782756643994,0.002915296664066624,Car
7.0,0.24428948957340624,0.694943675697068,0.044132548040914404,0.03012581841320085,0.0051808567761355085,0.008700455707573392,0.001058297524295863,0.00034311451796705824,0.869309519474645,0.869309519474645,0.869309519474645,0.027120425918657463,Bus
30.0,0.27955042474618286,0.8340502888953063,0.024056956829932086,0.0009546900696115395,0.0011264323014172765,0.000770312451182565,0.0004280858932271306,0.0005083129190711364,0.8927253333928475,0.8927253333928475,0.8927253333928475,0.0,Still
32.0,0.2326525748088243,0.7511404160728821,0.030506928274285083,0.02305273201018853,0.04445924699673565,0.07617013530212,0.008912850815075028,0.0015606102806802003,0.9354015377342512,0.9347810133081855,0.936022062161424,0.0029532023234600047,Still
37.0,0.21469124567545106,0.7399303082657666,0.02041814198345715,0.024147693368738538,0.01913977555091465,0.002972259570565494,0.033248907776003304,0.03807589339092016,0.9938613489298223,0.9938613489298223,0.9938613489298223,0.0009581292477690998,Car
20.0,0.2713608708478761,0.32664192980417095,0.20942196844754374,0.3490792377104588,0.3420342840777662,0.21000872801344192,0.1230000320982352,0.24363458997335177,0.0,0.0,0.0,0.0,Walking
224.0,0.28070334231425775,0.8276624155656686,0.02496498329391772,0.004122428098198996,0.015567287401766819,0.0025309628995681087,0.013625883960685066,0.02161037329296744,0.7679124643664762,0.7679124643664762,0.7679124643664762,0.06727410913802954,Still
